wilayah,kecamatan,kelurahan,tps_count,capacity_proxy_ton_per_day_sum,low_conf_count,medium_conf_count,very_low_conf_count,capacity_proxy_ton_per_tps_avg,quality_note
KOTA ADM. JAKARTA PUSAT,KEMAYORAN,SERDANG,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,PENJARINGAN,PLUIT,7,21.0,3,0,4,3.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,25,54.0,5,0,20,2.16,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,17,43.0,8,0,9,2.529,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,CILINCING,SUKAPURA,4,18.0,2,0,2,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,4,19.0,3,0,1,4.75,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,28,84.0,8,0,20,3.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,CILINCING,KALIBARU,4,11.0,1,0,3,2.75,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,7,21.0,2,0,5,3.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,CILINCING,MARUNDA,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,4,18.0,2,0,2,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,2,16.0,2,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,1,1.0,1,0,0,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,11,19.0,2,0,9,1.727,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,6,6.0,0,0,6,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,20,49.0,5,0,15,2.45,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KOJA,LAGOA,5,19.0,2,0,3,3.8,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KOJA,TUGU SELATAN,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,8,15.0,1,0,7,1.875,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,12,26.0,2,0,10,2.167,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,PENJARINGAN,PEJAGALAN,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KOJA,RAWA BADAK UTARA,10,21.0,5,0,5,2.1,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,KOJA,KOJA,10,20.0,4,0,6,2.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER TIMUR,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA UTARA,PENJARINGAN,PENJARINGAN,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,3,17.0,2,0,1,5.667,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,CENGKARENG,KAPUK,7,7.0,0,0,7,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,6,13.0,1,0,5,2.167,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,CENGKARENG,KEDAUNG KALIANGKE,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,11,19.0,2,0,9,1.727,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,5,12.0,1,0,4,2.4,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,5,5.0,0,0,5,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMAH,8,15.0,1,0,7,1.875,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,9,9.0,0,0,9,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,14,14.0,0,0,14,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KALI DERES,SEMANAN,6,13.0,1,0,5,2.167,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KALI DERES,KALIDERES,13,20.0,1,0,12,1.538,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KALI DERES,PEGADUNGAN,11,18.0,1,0,10,1.636,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KALI DERES,KAMAL,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KALI DERES,TEGAL ALUR,8,8.0,0,0,8,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEMBANGAN,JOGLO,4,4.0,0,0,4,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEMBANGAN,SRENGSENG,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,PALMERAH,KEMANGGISAN,7,7.0,0,0,7,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,PALMERAH,JATIPULO,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,ANGKE,2,16.0,2,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,DURI SELATAN,5,33.0,4,0,1,6.6,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,JEMBATAN BESI,3,10.0,1,0,2,3.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,KALI ANYAR,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,PEKOJAN,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,ROA MALAKA,2,16.0,2,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,TANAH SEREAL,1,3.0,1,0,0,3.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,GLODOK,4,18.0,2,0,2,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,KRUKUT,8,50.0,6,0,2,6.25,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,8,43.0,5,0,3,5.375,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,5,5.0,0,0,5,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,TANGKI,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,TAMAN SARI,5,5.0,0,0,5,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,MAPHAR,5,5.0,0,0,5,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,PALMERAH,PALMERAH,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,PALMERAH,SLIPI,4,5.0,1,0,3,1.25,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,6,6.0,0,0,6,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,5,5.0,0,0,5,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,6,6.0,0,0,6,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,KEBON JERUK,5,12.0,1,0,4,2.4,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,KELAPA DUA,4,4.0,0,0,4,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,8,29.0,3,0,5,3.625,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,4,4.0,0,0,4,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,KEBON JERUK,DURI KEPA,11,11.0,0,0,11,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,DURI UTARA,1,1.0,1,0,0,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA BARAT,TAMBORA,TAMBORA,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,4,18.0,2,0,2,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,JAGAKARSA,CIGANJUR,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,6,34.0,4,0,2,5.667,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,7,7.0,0,0,7,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,4,4.0,0,0,4,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,BINTARO,8,8.0,0,0,8,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,4,11.0,1,0,3,2.75,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,4,32.0,4,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PANCORAN,KALIBATA,3,24.0,3,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,TEBET,TEBET BARAT,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,TEBET,BUKIT DURI,4,18.0,2,0,2,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,TEBET,KEBON BARU,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,TEBET,MANGGARAI,4,11.0,1,0,3,2.75,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,KUNINGAN TIMUR,3,3.0,0,0,3,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,KARET SEMANGGI,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,MENTENG ATAS,1,1.0,1,0,0,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,GUNTUR,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,SETIABUDI,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,KARET,2,2.0,0,0,2,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,4,18.0,2,0,2,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,4,11.0,1,0,3,2.75,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,1,1.0,0,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,CILANDAK,LEBAK BULUS,2,2.0,1,0,1,1.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,3,19.0,3,0,0,6.333,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,2,16.0,2,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,4,25.0,3,0,1,6.25,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,6,34.0,4,0,2,5.667,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,5,33.0,4,0,1,6.6,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,11,74.0,9,0,2,6.727,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,8,50.0,6,0,2,6.25,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,5,19.0,2,0,3,3.8,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,10,45.0,5,0,5,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,2,9.0,1,0,1,4.5,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,PANCORAN,RAWAJATI,3,17.0,2,0,1,5.667,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
KOTA ADM. JAKARTA SELATAN,SETIABUDI,PASAR MANGGIS,1,8.0,1,0,0,8.0,Aggregate of derived TPS capacity proxy; not official design capacity.
