date,kelurahan,city,precipitation_mm,temp_max_c,wind_max_kmh,is_weekend,is_holiday,event_attendance,waste_tons,waste_tons_source
2021-02-13,gambir,Jakarta Pusat,7.6,28.7,12.2,1,0,0,885.358,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-14,gambir,Jakarta Pusat,13.8,28.7,11.0,1,0,0,942.803,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-15,gambir,Jakarta Pusat,13.5,27.5,11.5,0,0,0,892.669,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-16,gambir,Jakarta Pusat,14.1,27.8,10.8,0,0,0,940.522,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-17,gambir,Jakarta Pusat,13.1,28.1,11.9,0,1,0,893.02,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-18,gambir,Jakarta Pusat,25.7,29.7,18.7,0,0,0,926.148,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-19,gambir,Jakarta Pusat,27.0,26.3,12.5,0,0,0,881.943,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-20,gambir,Jakarta Pusat,21.1,27.9,14.5,1,0,0,955.898,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-21,gambir,Jakarta Pusat,7.5,29.3,12.4,1,0,0,914.083,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-22,gambir,Jakarta Pusat,1.5,29.9,12.7,0,0,0,722.84,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-23,gambir,Jakarta Pusat,1.8,31.8,18.9,0,0,0,791.703,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-24,gambir,Jakarta Pusat,8.6,27.2,16.3,0,0,0,782.216,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-25,gambir,Jakarta Pusat,21.9,28.5,16.4,0,0,0,833.481,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-26,gambir,Jakarta Pusat,22.8,27.7,12.6,0,0,0,858.091,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-27,gambir,Jakarta Pusat,5.4,31.2,11.6,1,0,0,979.472,calibrated_synthetic_anchored_to_SIPSN_real
2021-02-28,gambir,Jakarta Pusat,0.5,32.2,18.0,1,0,0,810.906,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-01,gambir,Jakarta Pusat,6.0,32.6,12.3,0,0,0,877.628,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-02,gambir,Jakarta Pusat,6.0,29.6,8.5,0,0,0,709.905,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-03,gambir,Jakarta Pusat,8.7,29.5,11.0,0,0,0,790.74,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-04,gambir,Jakarta Pusat,1.9,29.3,8.7,0,0,0,822.855,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-05,gambir,Jakarta Pusat,10.2,30.9,11.5,0,0,0,919.306,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-06,gambir,Jakarta Pusat,2.9,30.3,9.5,1,0,0,919.948,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-07,gambir,Jakarta Pusat,6.7,29.5,9.3,1,0,0,926.011,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-08,gambir,Jakarta Pusat,16.4,28.5,14.0,0,0,0,853.054,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-09,gambir,Jakarta Pusat,1.9,30.2,13.0,0,0,0,782.718,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-10,gambir,Jakarta Pusat,15.1,28.0,11.4,0,0,0,939.511,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-11,gambir,Jakarta Pusat,12.1,28.8,12.6,0,0,0,863.865,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-12,gambir,Jakarta Pusat,2.6,29.3,15.0,0,0,0,733.41,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-13,gambir,Jakarta Pusat,8.1,29.6,13.0,1,0,0,793.74,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-14,gambir,Jakarta Pusat,5.8,30.4,16.0,1,0,0,807.435,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-15,gambir,Jakarta Pusat,2.5,30.6,9.0,0,0,0,845.166,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-16,gambir,Jakarta Pusat,27.3,30.8,10.3,0,0,0,887.24,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-17,gambir,Jakarta Pusat,1.3,31.5,9.2,0,0,0,858.339,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-18,gambir,Jakarta Pusat,4.8,30.9,10.0,0,1,0,784.919,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-19,gambir,Jakarta Pusat,3.0,30.9,8.4,0,1,0,822.578,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-20,gambir,Jakarta Pusat,0.2,32.0,10.7,1,1,0,913.667,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-21,gambir,Jakarta Pusat,1.9,32.2,13.7,1,1,0,847.822,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-22,gambir,Jakarta Pusat,3.8,31.9,15.8,0,1,0,842.44,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-23,gambir,Jakarta Pusat,7.2,31.5,14.8,0,1,0,770.32,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-24,gambir,Jakarta Pusat,8.1,31.3,16.9,0,1,0,788.96,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-25,gambir,Jakarta Pusat,6.4,31.0,13.0,0,0,0,787.782,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-26,gambir,Jakarta Pusat,3.0,32.5,10.0,0,0,0,738.11,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-27,gambir,Jakarta Pusat,19.5,30.5,9.9,1,0,0,971.149,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-28,gambir,Jakarta Pusat,12.3,32.5,9.1,1,0,0,899.618,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-29,gambir,Jakarta Pusat,3.1,30.0,11.0,0,0,0,813.023,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-30,gambir,Jakarta Pusat,16.0,27.8,7.0,0,0,0,911.581,calibrated_synthetic_anchored_to_SIPSN_real
2021-03-31,gambir,Jakarta Pusat,10.7,30.9,14.0,0,0,0,909.09,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-01,gambir,Jakarta Pusat,13.7,27.5,13.0,0,0,0,925.146,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-02,gambir,Jakarta Pusat,0.8,31.7,10.9,0,0,0,805.837,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-03,gambir,Jakarta Pusat,23.5,27.7,9.9,1,1,0,902.942,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-04,gambir,Jakarta Pusat,20.9,29.3,14.7,1,0,0,928.105,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-05,gambir,Jakarta Pusat,4.6,30.8,10.0,0,1,0,709.651,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-06,gambir,Jakarta Pusat,1.9,30.6,15.2,0,0,0,723.421,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-07,gambir,Jakarta Pusat,1.8,29.7,17.6,0,0,0,730.657,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-08,gambir,Jakarta Pusat,1.6,30.7,16.9,0,0,0,749.93,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-09,gambir,Jakarta Pusat,1.1,30.9,12.2,0,0,0,838.607,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-10,gambir,Jakarta Pusat,2.5,30.8,9.3,1,0,0,808.338,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-11,gambir,Jakarta Pusat,6.4,31.2,8.9,1,0,0,843.168,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-12,gambir,Jakarta Pusat,1.1,31.1,7.5,0,0,0,901.174,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-13,gambir,Jakarta Pusat,9.6,31.4,8.9,0,0,0,789.389,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-14,gambir,Jakarta Pusat,1.6,30.6,9.7,0,0,0,861.574,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-15,gambir,Jakarta Pusat,9.8,29.8,10.0,0,0,0,753.758,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-16,gambir,Jakarta Pusat,5.1,31.0,8.9,0,0,0,798.971,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-17,gambir,Jakarta Pusat,10.6,31.1,10.1,1,0,0,865.684,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-18,gambir,Jakarta Pusat,2.9,30.8,6.5,1,0,0,845.811,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-19,gambir,Jakarta Pusat,6.9,31.3,10.1,0,0,0,868.689,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-20,gambir,Jakarta Pusat,2.5,30.8,9.5,0,0,0,707.385,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-21,gambir,Jakarta Pusat,0.0,31.9,11.0,0,0,0,840.935,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-22,gambir,Jakarta Pusat,0.0,32.2,10.0,0,0,0,827.806,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-23,gambir,Jakarta Pusat,0.7,31.1,10.9,0,0,0,774.508,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-24,gambir,Jakarta Pusat,0.4,31.6,9.7,1,0,0,774.126,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-25,gambir,Jakarta Pusat,1.3,31.2,9.3,1,0,0,874.095,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-26,gambir,Jakarta Pusat,1.4,31.9,11.2,0,0,0,778.525,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-27,gambir,Jakarta Pusat,1.3,31.9,8.6,0,0,0,827.471,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-28,gambir,Jakarta Pusat,11.0,30.0,8.3,0,0,0,878.723,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-29,gambir,Jakarta Pusat,1.5,31.3,8.4,0,0,0,923.252,calibrated_synthetic_anchored_to_SIPSN_real
2021-04-30,gambir,Jakarta Pusat,6.3,30.5,13.0,0,0,0,796.806,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-01,gambir,Jakarta Pusat,4.7,31.3,13.4,1,1,0,800.742,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-02,gambir,Jakarta Pusat,2.4,31.7,10.4,1,0,0,881.62,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-03,gambir,Jakarta Pusat,8.8,30.6,13.7,0,0,0,826.632,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-04,gambir,Jakarta Pusat,4.2,31.8,9.0,0,0,0,905.507,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-05,gambir,Jakarta Pusat,5.7,31.3,9.2,0,0,0,868.328,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-06,gambir,Jakarta Pusat,10.2,31.2,8.7,0,0,0,902.592,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-07,gambir,Jakarta Pusat,4.6,31.1,9.4,0,0,0,913.081,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-08,gambir,Jakarta Pusat,11.2,31.0,8.4,1,0,0,849.307,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-09,gambir,Jakarta Pusat,8.9,31.5,10.9,1,0,0,825.706,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-10,gambir,Jakarta Pusat,0.4,32.4,10.8,0,0,0,754.182,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-11,gambir,Jakarta Pusat,0.0,33.0,11.9,0,0,0,787.273,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-12,gambir,Jakarta Pusat,0.9,32.3,9.2,0,0,0,727.508,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-13,gambir,Jakarta Pusat,1.6,31.8,11.9,0,0,0,854.548,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-14,gambir,Jakarta Pusat,1.8,32.6,11.5,0,1,0,797.899,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-15,gambir,Jakarta Pusat,1.5,32.3,10.3,1,1,0,772.595,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-16,gambir,Jakarta Pusat,1.9,31.9,6.7,1,0,0,801.25,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-17,gambir,Jakarta Pusat,4.8,32.0,10.1,0,0,0,832.84,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-18,gambir,Jakarta Pusat,24.1,30.1,8.4,0,0,0,938.02,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-19,gambir,Jakarta Pusat,1.5,31.4,12.7,0,0,0,952.889,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-20,gambir,Jakarta Pusat,8.1,31.6,11.5,0,0,0,1025.432,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-21,gambir,Jakarta Pusat,6.0,31.5,8.7,0,0,0,839.589,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-22,gambir,Jakarta Pusat,4.8,30.5,9.8,1,0,0,802.921,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-23,gambir,Jakarta Pusat,1.3,31.3,8.7,1,0,0,732.787,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-24,gambir,Jakarta Pusat,9.1,32.0,7.6,0,0,0,829.794,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-25,gambir,Jakarta Pusat,3.7,32.0,10.9,0,0,0,761.07,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-26,gambir,Jakarta Pusat,0.4,32.1,16.6,0,0,0,785.666,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-27,gambir,Jakarta Pusat,0.6,32.1,16.6,0,1,0,773.397,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-28,gambir,Jakarta Pusat,3.6,32.0,11.5,0,1,0,803.114,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-29,gambir,Jakarta Pusat,22.4,29.1,11.2,1,0,0,1017.191,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-30,gambir,Jakarta Pusat,1.1,31.6,9.7,1,0,0,880.054,calibrated_synthetic_anchored_to_SIPSN_real
2021-05-31,gambir,Jakarta Pusat,5.2,30.5,8.6,0,1,0,801.969,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-01,gambir,Jakarta Pusat,0.7,31.7,8.6,0,1,0,747.63,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-02,gambir,Jakarta Pusat,3.1,32.0,10.9,0,0,0,710.37,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-03,gambir,Jakarta Pusat,3.5,31.6,10.6,0,0,0,781.219,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-04,gambir,Jakarta Pusat,7.5,31.8,8.9,0,0,0,808.724,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-05,gambir,Jakarta Pusat,2.0,31.8,8.5,1,0,0,1001.099,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-06,gambir,Jakarta Pusat,3.5,31.7,9.4,1,0,0,878.171,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-07,gambir,Jakarta Pusat,0.9,31.8,9.7,0,0,0,878.644,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-08,gambir,Jakarta Pusat,1.4,31.5,9.4,0,0,0,780.408,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-09,gambir,Jakarta Pusat,2.9,30.2,7.6,0,0,0,738.754,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-10,gambir,Jakarta Pusat,2.5,32.0,8.1,0,0,0,751.861,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-11,gambir,Jakarta Pusat,6.6,30.5,12.2,0,0,0,766.429,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-12,gambir,Jakarta Pusat,2.6,32.0,10.7,1,0,0,1030.394,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-13,gambir,Jakarta Pusat,6.9,31.8,11.3,1,0,0,813.795,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-14,gambir,Jakarta Pusat,0.7,31.6,16.7,0,0,0,868.562,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-15,gambir,Jakarta Pusat,4.6,30.4,10.8,0,0,0,755.61,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-16,gambir,Jakarta Pusat,6.1,30.9,11.2,0,1,0,875.054,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-17,gambir,Jakarta Pusat,1.5,28.6,7.2,0,0,0,837.613,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-18,gambir,Jakarta Pusat,13.0,30.6,9.4,0,0,0,866.264,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-19,gambir,Jakarta Pusat,1.5,29.1,5.9,1,0,0,866.236,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-20,gambir,Jakarta Pusat,15.1,29.7,8.0,1,0,0,886.374,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-21,gambir,Jakarta Pusat,2.8,29.5,14.2,0,0,0,841.719,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-22,gambir,Jakarta Pusat,14.6,30.2,8.4,0,0,0,845.834,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-23,gambir,Jakarta Pusat,5.9,30.0,8.3,0,0,0,736.355,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-24,gambir,Jakarta Pusat,6.0,27.4,11.1,0,0,0,733.278,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-25,gambir,Jakarta Pusat,2.5,31.7,10.4,0,0,0,823.503,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-26,gambir,Jakarta Pusat,5.6,29.9,11.7,1,0,0,986.089,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-27,gambir,Jakarta Pusat,5.5,30.7,10.1,1,0,0,880.261,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-28,gambir,Jakarta Pusat,1.3,30.4,7.8,0,0,0,804.539,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-29,gambir,Jakarta Pusat,9.1,30.6,10.0,0,0,0,830.997,calibrated_synthetic_anchored_to_SIPSN_real
2021-06-30,gambir,Jakarta Pusat,8.9,30.0,9.6,0,0,0,901.663,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-01,gambir,Jakarta Pusat,5.8,29.1,10.6,0,0,0,826.592,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-02,gambir,Jakarta Pusat,0.0,31.7,18.9,0,0,0,785.951,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-03,gambir,Jakarta Pusat,0.0,31.6,9.1,1,0,0,949.503,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-04,gambir,Jakarta Pusat,0.1,32.0,10.1,1,0,0,899.416,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-05,gambir,Jakarta Pusat,1.6,31.6,9.7,0,0,0,918.42,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-06,gambir,Jakarta Pusat,0.7,31.8,12.4,0,0,0,824.24,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-07,gambir,Jakarta Pusat,0.1,30.6,7.6,0,0,0,736.46,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-08,gambir,Jakarta Pusat,0.0,32.4,11.3,0,0,0,728.049,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-09,gambir,Jakarta Pusat,0.7,32.1,9.9,0,0,0,926.953,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-10,gambir,Jakarta Pusat,5.8,31.6,12.5,1,0,0,997.637,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-11,gambir,Jakarta Pusat,5.4,31.1,17.2,1,0,0,856.748,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-12,gambir,Jakarta Pusat,0.5,32.3,13.3,0,0,0,787.765,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-13,gambir,Jakarta Pusat,0.2,31.1,12.3,0,0,0,913.039,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-14,gambir,Jakarta Pusat,0.1,29.0,12.1,0,0,0,743.455,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-15,gambir,Jakarta Pusat,0.0,31.9,12.1,0,0,0,756.198,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-16,gambir,Jakarta Pusat,0.1,32.3,13.6,0,0,0,855.217,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-17,gambir,Jakarta Pusat,0.0,32.6,12.9,1,0,0,842.175,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-18,gambir,Jakarta Pusat,0.0,32.7,13.9,1,0,0,868.837,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-19,gambir,Jakarta Pusat,2.7,31.0,10.2,0,0,0,801.784,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-20,gambir,Jakarta Pusat,2.2,30.4,11.7,0,0,0,834.581,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-21,gambir,Jakarta Pusat,2.5,31.4,9.5,0,0,0,909.169,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-22,gambir,Jakarta Pusat,0.3,30.5,9.7,0,0,0,818.266,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-23,gambir,Jakarta Pusat,12.8,30.9,9.7,0,0,0,923.736,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-24,gambir,Jakarta Pusat,2.9,30.0,9.4,1,0,0,737.749,calibrated_synthetic_anchored_to_SIPSN_real
2021-07-25,gambir,Jakarta Pusat,0.0,32.6,14.3,1,0,0,865.864,calibrated_synthetic_anchored_to_SIPSN_real
