date,kecamatan,city,precipitation_mm,temp_max_c,wind_max_kmh,is_weekend,is_holiday,event_attendance,day_of_week,month_of_year,day_of_month,is_payday,rain_3d,waste_tons,waste_tons_source
2021-02-08,gambir,Jakarta Pusat,40.1,28.7,14.5,0,0,0,0,2,8,0,76.9,112.752,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-09,gambir,Jakarta Pusat,10.3,29.1,13.1,0,0,0,1,2,9,0,77.1,113.011,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-10,gambir,Jakarta Pusat,4.4,29.0,14.8,0,0,0,2,2,10,0,54.8,105.126,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-11,gambir,Jakarta Pusat,2.9,30.1,16.2,0,0,0,3,2,11,0,17.6,104.079,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-12,gambir,Jakarta Pusat,10.1,28.5,14.5,0,0,0,4,2,12,0,17.4,105.814,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-13,gambir,Jakarta Pusat,7.6,28.7,12.2,1,0,0,5,2,13,0,20.6,109.646,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-14,gambir,Jakarta Pusat,13.8,28.7,11.0,1,0,0,6,2,14,0,31.5,117.166,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-15,gambir,Jakarta Pusat,13.5,27.5,11.5,0,0,0,0,2,15,0,34.9,110.597,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-16,gambir,Jakarta Pusat,14.1,27.8,10.8,0,0,0,1,2,16,0,41.4,114.266,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-17,gambir,Jakarta Pusat,13.1,28.1,11.9,0,1,0,2,2,17,0,40.7,110.624,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-18,gambir,Jakarta Pusat,25.7,29.7,18.7,0,0,0,3,2,18,0,52.9,113.171,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-19,gambir,Jakarta Pusat,27.0,26.3,12.5,0,0,0,4,2,19,0,65.8,109.764,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-20,gambir,Jakarta Pusat,21.1,27.9,14.5,1,0,0,5,2,20,0,73.8,118.18,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-21,gambir,Jakarta Pusat,7.5,29.3,12.4,1,0,0,6,2,21,0,55.6,111.857,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-22,gambir,Jakarta Pusat,1.5,29.9,12.7,0,0,0,0,2,22,0,30.1,94.173,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-23,gambir,Jakarta Pusat,1.8,31.8,18.9,0,0,0,1,2,23,0,10.8,99.685,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-24,gambir,Jakarta Pusat,8.6,27.2,16.3,0,0,0,2,2,24,0,11.9,98.936,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-25,gambir,Jakarta Pusat,21.9,28.5,16.4,0,0,0,3,2,25,1,32.3,109.879,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-26,gambir,Jakarta Pusat,22.8,27.7,12.6,0,0,0,4,2,26,1,53.3,111.896,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-27,gambir,Jakarta Pusat,5.4,31.2,11.6,1,0,0,5,2,27,1,50.1,121.159,calibrated_synthetic_anchored_to_SILIKA_real
2021-02-28,gambir,Jakarta Pusat,0.5,32.2,18.0,1,0,0,6,2,28,1,28.7,107.669,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-01,gambir,Jakarta Pusat,6.0,32.6,12.3,0,0,0,0,3,1,1,11.9,110.568,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-02,gambir,Jakarta Pusat,6.0,29.6,8.5,0,0,0,1,3,2,1,12.5,96.841,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-03,gambir,Jakarta Pusat,8.7,29.5,11.0,0,0,0,2,3,3,0,20.7,99.609,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-04,gambir,Jakarta Pusat,1.9,29.3,8.7,0,0,0,3,3,4,0,16.6,102.118,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-05,gambir,Jakarta Pusat,10.2,30.9,11.5,0,0,0,4,3,5,0,20.8,112.648,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-06,gambir,Jakarta Pusat,2.9,30.3,9.5,1,0,0,5,3,6,0,15.0,112.304,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-07,gambir,Jakarta Pusat,6.7,29.5,9.3,1,0,0,6,3,7,0,19.8,112.767,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-08,gambir,Jakarta Pusat,16.4,28.5,14.0,0,0,0,0,3,8,0,26.0,107.503,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-09,gambir,Jakarta Pusat,1.9,30.2,13.0,0,0,0,1,3,9,0,25.0,98.976,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-10,gambir,Jakarta Pusat,15.1,28.0,11.4,0,0,0,2,3,10,0,33.4,114.189,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-11,gambir,Jakarta Pusat,12.1,28.8,12.6,0,0,0,3,3,11,0,29.1,108.352,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-12,gambir,Jakarta Pusat,2.6,29.3,15.0,0,0,0,4,3,12,0,29.8,95.032,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-13,gambir,Jakarta Pusat,8.1,29.6,13.0,1,0,0,5,3,13,0,22.8,102.41,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-14,gambir,Jakarta Pusat,5.8,30.4,16.0,1,0,0,6,3,14,0,16.5,103.511,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-15,gambir,Jakarta Pusat,2.5,30.6,9.0,0,0,0,0,3,15,0,16.4,103.84,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-16,gambir,Jakarta Pusat,27.3,30.8,10.3,0,0,0,1,3,16,0,35.6,110.176,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-17,gambir,Jakarta Pusat,1.3,31.5,9.2,0,0,0,2,3,17,0,31.1,104.849,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-18,gambir,Jakarta Pusat,4.8,30.9,10.0,0,1,0,3,3,18,0,33.4,99.15,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-19,gambir,Jakarta Pusat,3.0,30.9,8.4,0,1,0,4,3,19,0,9.1,102.097,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-20,gambir,Jakarta Pusat,0.2,32.0,10.7,1,1,0,5,3,20,0,8.0,111.825,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-21,gambir,Jakarta Pusat,1.9,32.2,13.7,1,1,0,6,3,21,0,5.1,106.718,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-22,gambir,Jakarta Pusat,3.8,31.9,15.8,0,1,0,0,3,22,0,5.9,103.631,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-23,gambir,Jakarta Pusat,7.2,31.5,14.8,0,1,0,1,3,23,0,12.9,97.993,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-24,gambir,Jakarta Pusat,8.1,31.3,16.9,0,1,0,2,3,24,0,19.1,99.469,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-25,gambir,Jakarta Pusat,6.4,31.0,13.0,0,0,0,3,3,25,1,21.7,103.351,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-26,gambir,Jakarta Pusat,3.0,32.5,10.0,0,0,0,4,3,26,1,17.5,99.228,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-27,gambir,Jakarta Pusat,19.5,30.5,9.9,1,0,0,5,3,27,1,28.9,123.507,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-28,gambir,Jakarta Pusat,12.3,32.5,9.1,1,0,0,6,3,28,1,34.8,117.74,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-29,gambir,Jakarta Pusat,3.1,30.0,11.0,0,0,0,0,3,29,0,34.9,101.354,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-30,gambir,Jakarta Pusat,16.0,27.8,7.0,0,0,0,1,3,30,0,31.4,112.055,calibrated_synthetic_anchored_to_SILIKA_real
2021-03-31,gambir,Jakarta Pusat,10.7,30.9,14.0,0,0,0,2,3,31,0,29.8,111.864,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-01,gambir,Jakarta Pusat,13.7,27.5,13.0,0,0,0,3,4,1,1,40.4,117.283,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-02,gambir,Jakarta Pusat,0.8,31.7,10.9,0,0,0,4,4,2,1,25.2,104.825,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-03,gambir,Jakarta Pusat,23.5,27.7,9.9,1,1,0,5,4,3,0,38.0,114.045,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-04,gambir,Jakarta Pusat,20.9,29.3,14.7,1,0,0,6,4,4,0,45.2,116.021,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-05,gambir,Jakarta Pusat,4.6,30.8,10.0,0,1,0,0,4,5,0,49.0,93.096,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-06,gambir,Jakarta Pusat,1.9,30.6,15.2,0,0,0,1,4,6,0,27.4,94.221,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-07,gambir,Jakarta Pusat,1.8,29.7,17.6,0,0,0,2,4,7,0,8.3,94.808,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-08,gambir,Jakarta Pusat,1.6,30.7,16.9,0,0,0,3,4,8,0,5.3,96.364,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-09,gambir,Jakarta Pusat,1.1,30.9,12.2,0,0,0,4,4,9,0,4.5,103.336,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-10,gambir,Jakarta Pusat,2.5,30.8,9.3,1,0,0,5,4,10,0,5.2,103.584,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-11,gambir,Jakarta Pusat,6.4,31.2,8.9,1,0,0,6,4,11,0,10.0,106.351,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-12,gambir,Jakarta Pusat,1.1,31.1,7.5,0,0,0,0,4,12,0,10.0,108.089,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-13,gambir,Jakarta Pusat,9.6,31.4,8.9,0,0,0,1,4,13,0,17.1,99.502,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-14,gambir,Jakarta Pusat,1.6,30.6,9.7,0,0,0,2,4,14,0,12.3,105.096,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-15,gambir,Jakarta Pusat,9.8,29.8,10.0,0,0,0,3,4,15,0,21.0,96.671,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-16,gambir,Jakarta Pusat,5.1,31.0,8.9,0,0,0,4,4,16,0,16.5,100.256,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-17,gambir,Jakarta Pusat,10.6,31.1,10.1,1,0,0,5,4,17,0,25.5,111.08,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-18,gambir,Jakarta Pusat,2.9,30.8,6.5,1,0,0,6,4,18,0,18.6,106.559,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-19,gambir,Jakarta Pusat,6.9,31.3,10.1,0,0,0,0,4,19,0,20.4,105.637,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-20,gambir,Jakarta Pusat,2.5,30.8,9.5,0,0,0,1,4,20,0,12.3,92.91,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-21,gambir,Jakarta Pusat,0.0,31.9,11.0,0,0,0,2,4,21,0,9.4,103.515,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-22,gambir,Jakarta Pusat,0.0,32.2,10.0,0,0,0,3,4,22,0,2.5,102.502,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-23,gambir,Jakarta Pusat,0.7,31.1,10.9,0,0,0,4,4,23,0,0.7,98.326,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-24,gambir,Jakarta Pusat,0.4,31.6,9.7,1,0,0,5,4,24,0,1.1,100.821,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-25,gambir,Jakarta Pusat,1.3,31.2,9.3,1,0,0,6,4,25,1,2.4,112.839,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-26,gambir,Jakarta Pusat,1.4,31.9,11.2,0,0,0,0,4,26,1,3.1,102.59,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-27,gambir,Jakarta Pusat,1.3,31.9,8.6,0,0,0,1,4,27,1,4.0,106.575,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-28,gambir,Jakarta Pusat,11.0,30.0,8.3,0,0,0,2,4,28,1,13.7,113.57,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-29,gambir,Jakarta Pusat,1.5,31.3,8.4,0,0,0,3,4,29,0,13.8,109.737,calibrated_synthetic_anchored_to_SILIKA_real
2021-04-30,gambir,Jakarta Pusat,6.3,30.5,13.0,0,0,0,4,4,30,0,18.8,100.086,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-01,gambir,Jakarta Pusat,4.7,31.3,13.4,1,1,0,5,5,1,1,12.5,106.824,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-02,gambir,Jakarta Pusat,2.4,31.7,10.4,1,0,0,6,5,2,1,13.4,113.445,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-03,gambir,Jakarta Pusat,8.8,30.6,13.7,0,0,0,0,5,3,0,15.9,102.411,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-04,gambir,Jakarta Pusat,4.2,31.8,9.0,0,0,0,1,5,4,0,15.4,108.414,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-05,gambir,Jakarta Pusat,5.7,31.3,9.2,0,0,0,2,5,5,0,18.7,105.61,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-06,gambir,Jakarta Pusat,10.2,31.2,8.7,0,0,0,3,5,6,0,20.1,111.363,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-07,gambir,Jakarta Pusat,4.6,31.1,9.4,0,0,0,4,5,7,0,20.5,108.979,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-08,gambir,Jakarta Pusat,11.2,31.0,8.4,1,0,0,5,5,8,0,26.0,109.762,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-09,gambir,Jakarta Pusat,8.9,31.5,10.9,1,0,0,6,5,9,0,24.7,104.969,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-10,gambir,Jakarta Pusat,0.4,32.4,10.8,0,0,0,0,5,10,0,20.5,96.705,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-11,gambir,Jakarta Pusat,0.0,33.0,11.9,0,0,0,1,5,11,0,9.3,99.336,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-12,gambir,Jakarta Pusat,0.9,32.3,9.2,0,0,0,2,5,12,0,1.3,94.553,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-13,gambir,Jakarta Pusat,1.6,31.8,11.9,0,0,0,3,5,13,0,2.5,104.559,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-14,gambir,Jakarta Pusat,1.8,32.6,11.5,0,1,0,4,5,14,0,4.3,100.171,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-15,gambir,Jakarta Pusat,1.5,32.3,10.3,1,1,0,5,5,15,0,4.9,100.697,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-16,gambir,Jakarta Pusat,1.9,31.9,6.7,1,0,0,6,5,16,0,5.2,103.015,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-17,gambir,Jakarta Pusat,4.8,32.0,10.1,0,0,0,0,5,17,0,8.2,102.891,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-18,gambir,Jakarta Pusat,24.1,30.1,8.4,0,0,0,1,5,18,0,30.8,114.076,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-19,gambir,Jakarta Pusat,1.5,31.4,12.7,0,0,0,2,5,19,0,30.4,111.925,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-20,gambir,Jakarta Pusat,8.1,31.6,11.5,0,0,0,3,5,20,0,33.7,117.177,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-21,gambir,Jakarta Pusat,6.0,31.5,8.7,0,0,0,4,5,21,0,15.6,103.411,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-22,gambir,Jakarta Pusat,4.8,30.5,9.8,1,0,0,5,5,22,0,18.9,103.149,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-23,gambir,Jakarta Pusat,1.3,31.3,8.7,1,0,0,6,5,23,0,12.1,97.422,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-24,gambir,Jakarta Pusat,9.1,32.0,7.6,0,0,0,0,5,24,0,15.2,102.656,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-25,gambir,Jakarta Pusat,3.7,32.0,10.9,0,0,0,1,5,25,1,14.1,101.146,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-26,gambir,Jakarta Pusat,0.4,32.1,16.6,0,0,0,2,5,26,1,13.2,103.177,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-27,gambir,Jakarta Pusat,0.6,32.1,16.6,0,1,0,3,5,27,1,4.7,102.167,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-28,gambir,Jakarta Pusat,3.6,32.0,11.5,0,1,0,4,5,28,1,4.6,104.603,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-29,gambir,Jakarta Pusat,22.4,29.1,11.2,1,0,0,5,5,29,0,26.6,122.861,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-30,gambir,Jakarta Pusat,1.1,31.6,9.7,1,0,0,6,5,30,0,27.1,109.235,calibrated_synthetic_anchored_to_SILIKA_real
2021-05-31,gambir,Jakarta Pusat,5.2,30.5,8.6,0,1,0,0,5,31,0,28.7,100.49,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-01,gambir,Jakarta Pusat,0.7,31.7,8.6,0,1,0,1,6,1,1,7.0,100.026,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-02,gambir,Jakarta Pusat,3.1,32.0,10.9,0,0,0,2,6,2,1,9.0,96.881,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-03,gambir,Jakarta Pusat,3.5,31.6,10.6,0,0,0,3,6,3,0,7.3,98.857,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-04,gambir,Jakarta Pusat,7.5,31.8,8.9,0,0,0,4,6,4,0,14.1,101.019,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-05,gambir,Jakarta Pusat,2.0,31.8,8.5,1,0,0,5,6,5,0,13.0,118.398,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-06,gambir,Jakarta Pusat,3.5,31.7,9.4,1,0,0,6,6,6,0,13.0,109.089,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-07,gambir,Jakarta Pusat,0.9,31.8,9.7,0,0,0,0,6,7,0,6.4,106.392,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-08,gambir,Jakarta Pusat,1.4,31.5,9.4,0,0,0,1,6,8,0,5.8,98.793,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-09,gambir,Jakarta Pusat,2.9,30.2,7.6,0,0,0,2,6,9,0,5.2,95.464,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-10,gambir,Jakarta Pusat,2.5,32.0,8.1,0,0,0,3,6,10,0,6.8,96.519,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-11,gambir,Jakarta Pusat,6.6,30.5,12.2,0,0,0,4,6,11,0,12.0,97.683,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-12,gambir,Jakarta Pusat,2.6,32.0,10.7,1,0,0,5,6,12,0,11.7,120.551,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-13,gambir,Jakarta Pusat,6.9,31.8,11.3,1,0,0,6,6,13,0,16.1,104.02,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-14,gambir,Jakarta Pusat,0.7,31.6,16.7,0,0,0,0,6,14,0,10.2,105.627,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-15,gambir,Jakarta Pusat,4.6,30.4,10.8,0,0,0,1,6,15,0,12.2,96.819,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-16,gambir,Jakarta Pusat,6.1,30.9,11.2,0,1,0,2,6,16,0,11.4,106.12,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-17,gambir,Jakarta Pusat,1.5,28.6,7.2,0,0,0,3,6,17,0,12.2,103.259,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-18,gambir,Jakarta Pusat,13.0,30.6,9.4,0,0,0,4,6,18,0,20.6,108.54,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-19,gambir,Jakarta Pusat,1.5,29.1,5.9,1,0,0,5,6,19,0,16.0,108.16,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-20,gambir,Jakarta Pusat,15.1,29.7,8.0,1,0,0,6,6,20,0,29.6,112.732,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-21,gambir,Jakarta Pusat,2.8,29.5,14.2,0,0,0,0,6,21,0,19.4,103.575,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-22,gambir,Jakarta Pusat,14.6,30.2,8.4,0,0,0,1,6,22,0,32.5,106.933,calibrated_synthetic_anchored_to_SILIKA_real
2021-06-23,gambir,Jakarta Pusat,5.9,30.0,8.3,0,0,0,2,6,23,0,23.3,95.27,calibrated_synthetic_anchored_to_SILIKA_real
